Problem #,Title,Description,Issue Date,Issue Start Time,Duration (Minute),Status,Affected Entities,Catalog,Sub Catalog,Affected Functionality,Analysis and Conclusion,Customer Impact details,Jira,Owner,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605268,Response time degradation,The current response time (~196.12 ms) exceeds the auto-detected baseline (~4.28 ms) by 4480.5 %.Endpoint Update carts has a slowdown.,5/28/2026,2026-05-28 01:55:00 EDT,9,CLOSED,c3uumz7eg2-bobsdisco1-p1-db,Performance,Database,Performance,Update cart,No customer impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605269,Failure rate increase,The error rate increased to 29.21 %.Service PaymentsOccController has a failure rate increase.,5/28/2026,2026-05-28 03:10:00 EDT,7,CLOSED,PaymentsOccController,API,Third Party - Credit Service,,"com.bobs.furniture.integration.exception.BobsESAPIBadRequestException Customer Payment doesn't belong to customer, so we can not be removed",,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605270,Failure rate increase,The error rate increased to 100 %.Endpoint https://az.services.mybobs.com/RESTAdapter/Hybris-DeliveryCharge has a failure rate increase.,5/28/2026,2026-05-28 05:02:00 EDT,16,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,https://az.services.mybobs.com/RESTAdapter/Hybris-DeliveryCharge,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605271,Failure rate increase,The error rate increased to 100 %.Endpoint https://az.services.mybobs.com/RESTAdapter/Delivery_OpenLookUp has a failure rate increase. ,5/28/2026,2026-05-28 05:04:00 EDT,1 h 46 min,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,https://az.services.mybobs.com/RESTAdapter/Delivery_OpenLookUp,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605272,Failure rate increase,The error rate increased to 100 %.Endpoint https://az.services.mybobs.com/RESTAdapter/Hybris_OrderHistory has a failure rate increase. ,5/28/2026,2026-05-28 05:07:00 EDT,5,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,https://az.services.mybobs.com/RESTAdapter/Hybris_OrderHistory,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605273,Failure rate increase,The error rate increased to 100 %.Service domain mybobs.com has a failure rate increase.,5/28/2026,2026-05-28 05:02:00 EDT,1 h 48 min,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,mybobs.com,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605274,Failure rate increase,The error rate increased to 100 %.Endpoint https://az.services.mybobs.com/RESTAdapter/Hybris_OrderHistory has a failure rate increase.,5/28/2026,2026-05-28 05:28:00 EDT,8,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,https://az.services.mybobs.com/RESTAdapter/Hybris_OrderHistory,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605275,Failure rate increase,The error rate increased to 100 %.Endpoint https://az.services.mybobs.com/RESTAdapter/Hybris-DeliveryCharge has a failure rate increase.,5/28/2026,2026-05-28 05:39:00 EDT,7,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,https://az.services.mybobs.com/RESTAdapter/Hybris-DeliveryCharge,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605276,Failure rate increase,The error rate increased to 100 %.Endpoint https://az.services.mybobs.com/RESTAdapter/Hybris_OrderHistory has a failure rate increase.,5/28/2026,2026-05-28 05:42:00 EDT,31,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,https://az.services.mybobs.com/RESTAdapter/Hybris_OrderHistory,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-2605277,Failure rate increase,The error rate increased to 100 %.Endpoint https://az.services.mybobs.com/RESTAdapter/Hybris_OmniChannel_Cart has a failure rate increase.,5/28/2026,2026-05-28 05:48:00 EDT,9,CLOSED,Requests to public networks ,API,Hybris to ECC,ECC,https://az.services.mybobs.com/RESTAdapter/Hybris_OmniChannel_Cart,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
